en,ph,th,ex,exth,lv,cat,wt
Consequence,/ˈkɒn.sɪ.kwəns/,ผลที่ตามมา / ผลลัพธ์,Think about the consequences of your actions.,คิดถึงผลที่ตามมาจากการกระทำของคุณ,ม.5,คำศัพท์ทั่วไป,n.
Accomplish,/əˈkʌm.plɪʃ/,บรรลุ / ประสบความสำเร็จ,She accomplished all her goals.,เธอบรรลุเป้าหมายทั้งหมด,ม.5,คำศัพท์ทั่วไป,v.
Competent,/ˈkɒm.pɪ.tənt/,มีความสามารถ / เชี่ยวชาญ,A competent officer handles problems well.,เจ้าหน้าที่ที่มีความสามารถจัดการปัญหาได้ดี,ม.6,คำศัพท์ทั่วไป,adj.
Transparent,/trænsˈpær.ənt/,โปร่งใส / ชัดเจน,The government should be transparent.,รัฐบาลควรมีความโปร่งใส,ม.6,คำศัพท์ทั่วไป,adj.
Integrity,/ɪnˈteɡ.rɪ.ti/,ความซื่อสัตย์ / ความมีคุณธรรม,Public officers must have integrity.,ข้าราชการต้องมีความซื่อสัตย์,ม.6,คำศัพท์ทั่วไป,n.
Authority,/ɔːˈθɒr.ɪ.ti/,อำนาจ / หน่วยงานที่มีอำนาจ,The authority approved the new law.,หน่วยงานอนุมัติกฎหมายใหม่,ม.6,คำศัพท์ทั่วไป,n.
Regulation,/ˌreɡ.jʊˈleɪ.ʃən/,กฎระเบียบ / ข้อบังคับ,All staff must follow the regulations.,พนักงานทุกคนต้องปฏิบัติตามกฎระเบียบ,ม.6,คำศัพท์ทั่วไป,n.
Petition,/pəˈtɪʃ.ən/,คำร้อง / ยื่นคำร้อง,Citizens signed a petition for change.,ประชาชนเซ็นคำร้องเรียกร้องการเปลี่ยนแปลง,ม.6,คำศัพท์ทั่วไป,n.
Emphasize,/ˈem.fə.saɪz/,เน้น / ให้ความสำคัญ,The teacher emphasized the key points.,ครูเน้นย้ำประเด็นสำคัญ,ม.5,คำศัพท์ทั่วไป,v.
Hesitate,/ˈhez.ɪ.teɪt/,ลังเล / ชักช้า,Don't hesitate to ask for help.,อย่าลังเลที่จะขอความช่วยเหลือ,ม.4,คำศัพท์ทั่วไป,v.
Acknowledge,/əkˈnɒl.ɪdʒ/,ยอมรับ / รับทราบ,She acknowledged her mistake.,เธอยอมรับความผิดพลาดของตัวเอง,ม.5,คำศัพท์ทั่วไป,v.
Discipline,/ˈdɪs.ɪ.plɪn/,วินัย / ระเบียบวินัย,Discipline is key to success.,วินัยคือกุญแจสู่ความสำเร็จ,ม.3,คำศัพท์ทั่วไป,n.
Prioritize,/praɪˈɒr.ɪ.taɪz/,จัดลำดับความสำคัญ,Prioritize your most important tasks first.,จัดลำดับงานสำคัญที่สุดก่อน,ม.6,คำศัพท์ทั่วไป,v.
Prejudice,/ˈpredʒ.ʊ.dɪs/,อคติ / ความลำเอียง,We should act without prejudice.,เราควรปฏิบัติโดยปราศจากอคติ,ม.6,คำศัพท์ทั่วไป,n.
Citizen,/ˈsɪt.ɪ.zən/,พลเมือง / ประชาชน,Every citizen has rights and duties.,พลเมืองทุกคนมีสิทธิและหน้าที่,ม.4,คำศัพท์ทั่วไป,n.
Welfare,/ˈwel.feər/,สวัสดิภาพ / ความเป็นอยู่ที่ดี,The government cares about public welfare.,รัฐบาลดูแลสวัสดิภาพของประชาชน,ม.5,คำศัพท์ทั่วไป,n.
give up,,ยอมแพ้ / เลิกทำ,Don't give up — keep trying!,อย่ายอมแพ้ ฝึกต่อไป!,ม.3,Phrasal Verbs,phrasal v.
look up,,ค้นหาข้อมูล / เปิดดู,Look up the word in a dictionary.,ค้นหาคำในพจนานุกรม,ม.2,Phrasal Verbs,phrasal v.
run out of,,หมด / สิ้นสุด,We ran out of time before the exam ended.,เวลาหมดก่อนที่การสอบจะสิ้นสุด,ม.3,Phrasal Verbs,phrasal v.
put off,,เลื่อน / ผัดผ่อน,She put off doing her homework until late.,เธอผัดผ่อนการทำการบ้านไปจนดึก,ม.4,Phrasal Verbs,phrasal v.
get along with,,เข้ากันได้กับ / สนิทกับ,He gets along with all his classmates.,เขาเข้ากันได้กับเพื่อนร่วมชั้นทุกคน,ม.3,Phrasal Verbs,phrasal v.
figure out,,คิดออก / หาทางแก้,I can't figure out how to solve this problem.,ฉันคิดไม่ออกว่าจะแก้ปัญหานี้อย่างไร,ม.4,Phrasal Verbs,phrasal v.
carry out,,ดำเนินการ / ลงมือทำ,The team carried out the plan successfully.,ทีมงานดำเนินแผนได้สำเร็จ,ม.5,Phrasal Verbs,phrasal v.
take over,,เข้าควบคุม / รับช่วงต่อ,She took over the project from her colleague.,เธอรับช่วงต่อโปรเจกต์จากเพื่อนร่วมงาน,ม.5,Phrasal Verbs,phrasal v.
point out,,ชี้ให้เห็น / บ่งชี้,He pointed out the mistakes in my essay.,เขาชี้ให้เห็นข้อผิดพลาดในเรียงความของฉัน,ม.4,Phrasal Verbs,phrasal v.
make up,,แต่งขึ้น / คืนดีกัน / ชดเชย,They made up after the argument.,พวกเขาคืนดีกันหลังจากโต้เถียง,ม.3,Phrasal Verbs,phrasal v.
break down,,เสีย / พังทลาย / สลายตัว,My car broke down on the highway.,รถของฉันเสียบนทางด่วน,ม.3,Phrasal Verbs,phrasal v.
call off,,ยกเลิก,They called off the meeting due to bad weather.,พวกเขายกเลิกการประชุมเพราะอากาศไม่ดี,ม.4,Phrasal Verbs,phrasal v.
hit the nail on the head,,พูดถูกต้องแม่นยำ / ตรงประเด็น,You hit the nail on the head with that answer.,คุณพูดตรงประเด็นมากกับคำตอบนั้น,ม.5,Idioms,phrase
break a leg,,โชคดี (ใช้ก่อนการแสดง),Break a leg at your audition tomorrow!,โชคดีในการออดิชั่นพรุ่งนี้นะ!,ม.4,Idioms,phrase
bite the bullet,,อดทนต่อสิ่งที่เจ็บปวด / ยอมรับความจริง,Just bite the bullet and tell him the truth.,อดทนซะแล้วบอกความจริงกับเขาไป,ม.5,Idioms,phrase
cost an arm and a leg,,แพงมาก / ราคาสูงลิ่ว,That handbag costs an arm and a leg.,กระเป๋าใบนั้นแพงมาก,ม.4,Idioms,phrase
once in a blue moon,,นานๆ ครั้ง / แทบไม่เคย,She only calls me once in a blue moon.,เธอโทรหาฉันนานๆ ครั้ง,ม.4,Idioms,phrase
under the weather,,ไม่สบาย / รู้สึกไม่ดี,I'm feeling a bit under the weather today.,วันนี้ฉันรู้สึกไม่ค่อยสบาย,ม.3,Idioms,phrase
a piece of cake,,เรื่องง่ายมาก / ง่ายดาย,The math test was a piece of cake.,ข้อสอบคณิตศาสตร์นั้นง่ายมาก,ม.3,Idioms,phrase
let the cat out of the bag,,เผยความลับ / บอกความลับโดยไม่ตั้งใจ,He let the cat out of the bag about the surprise party.,เขาเผยความลับเรื่องงานเลี้ยงเซอร์ไพรส์,ม.5,Idioms,phrase
it's raining cats and dogs,,ฝนตกหนักมาก,We can't go out — it's raining cats and dogs!,เราออกไปไม่ได้ ฝนตกหนักมาก!,ม.3,Idioms,phrase
the ball is in your court,,เป็นหน้าที่ของคุณแล้ว / ถึงคิวคุณแล้ว,I've given you all the information — the ball is in your court.,ฉันให้ข้อมูลทั้งหมดแล้ว ถึงคิวคุณแล้ว,ม.5,Idioms,phrase
hit the books,,ตั้งใจเรียน / อ่านหนังสือ,I need to hit the books before the final exam.,ฉันต้องตั้งใจอ่านหนังสือก่อนสอบปลายภาค,ม.3,Idioms,phrase
spill the beans,,บอกความลับ / เปิดเผยข้อมูล,Don't spill the beans about the surprise!,อย่าบอกความลับเรื่องเซอร์ไพรส์นะ!,ม.4,Idioms,phrase
begin / began / begun,,เริ่มต้น,The lesson begins at eight every morning.,บทเรียนเริ่มต้นทุกเช้าแปดโมง,ม.1,Verb Forms,irreg. v.
break / broke / broken,,แตก / ทำลาย,She broke the glass by accident.,เธอทำแก้วแตกโดยไม่ตั้งใจ,ม.1,Verb Forms,irreg. v.
bring / brought / brought,,นำมา / พามา,Please bring your textbook to class.,กรุณานำหนังสือเรียนมาในชั้นเรียน,ม.1,Verb Forms,irreg. v.
buy / bought / bought,,ซื้อ,He bought a new phone yesterday.,เขาซื้อโทรศัพท์ใหม่เมื่อวานนี้,ม.1,Verb Forms,irreg. v.
come / came / come,,มา,She came to the party late.,เธอมางานปาร์ตี้สาย,ม.1,Verb Forms,irreg. v.
do / did / done,,ทำ,Have you done your homework yet?,คุณทำการบ้านเสร็จแล้วหรือยัง?,ม.1,Verb Forms,irreg. v.
eat / ate / eaten,,กิน,We ate rice for dinner last night.,เราทานข้าวเป็นอาหารเย็นเมื่อคืน,ม.1,Verb Forms,irreg. v.
give / gave / given,,ให้,She gave me a gift on my birthday.,เธอให้ของขวัญฉันในวันเกิด,ม.1,Verb Forms,irreg. v.
go / went / gone,,ไป,They went to Bangkok last week.,พวกเขาไปกรุงเทพเมื่อสัปดาห์ที่แล้ว,ม.1,Verb Forms,irreg. v.
grow / grew / grown,,เติบโต / งอก,This plant has grown very fast.,ต้นไม้นี้โตเร็วมาก,ม.2,Verb Forms,irreg. v.
know / knew / known,,รู้ / รู้จัก,I've known her since childhood.,ฉันรู้จักเธอตั้งแต่เด็ก,ม.2,Verb Forms,irreg. v.
make / made / made,,ทำ / สร้าง,She made a delicious cake for the party.,เธอทำเค้กอร่อยสำหรับงานเลี้ยง,ม.1,Verb Forms,irreg. v.
run / ran / run,,วิ่ง,He ran five kilometres this morning.,เขาวิ่งห้ากิโลเมตรเช้านี้,ม.1,Verb Forms,irreg. v.
see / saw / seen,,เห็น / มอง,Have you seen my keys anywhere?,คุณเห็นกุญแจของฉันที่ไหนบ้างไหม?,ม.1,Verb Forms,irreg. v.
speak / spoke / spoken,,พูด,She has spoken English fluently since childhood.,เธอพูดภาษาอังกฤษคล่องตั้งแต่เด็ก,ม.2,Verb Forms,irreg. v.
take / took / taken,,เอา / นำ / พา,He took the bus to school every day.,เขานั่งรถเมล์ไปโรงเรียนทุกวัน,ม.1,Verb Forms,irreg. v.
think / thought / thought,,คิด,I thought about it all night.,ฉันคิดถึงมันตลอดทั้งคืน,ม.2,Verb Forms,irreg. v.
write / wrote / written,,เขียน,He has written three books so far.,เขาเขียนหนังสือมาแล้วสามเล่ม,ม.2,Verb Forms,irreg. v.
choose / chose / chosen,,เลือก,She chose the blue dress for the event.,เธอเลือกชุดสีฟ้าสำหรับงาน,ม.2,Verb Forms,irreg. v.
drive / drove / driven,,ขับ (รถ),He has driven to Chiang Mai twice.,เขาขับรถไปเชียงใหม่มาแล้วสองครั้ง,ม.3,Verb Forms,irreg. v.
